Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
IMD04_DECILE,IMD Decile Group,String(30),,1997-98 onwards,,"The IMD Overall Ranking to identify which one of ten groups a Lower Super Output Area belongs to, from most deprived through to least deprived.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.","Most deprived 10%
More deprived 10-20%
More deprived 20-30%
More deprived 30-40%
More deprived 40-50%
Less deprived 40-50%
Less deprived 30-40%
Less deprived 20-30%
Less deprived 10-20%
Least deprived 10%",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04C,IMD Crime Domain,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Crime Domain. The purpose of the Crime domain is to measure the incidence of recorded crime for four major crime themes:
1. burglary
2. theft
3. criminal damage
4. violence

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",n.nn = IMD Crime Domain value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04ED,IMD Education Training and Skills Domain ,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Education, Skills and Training Domain. The purpose of the Education, Skills and training domain is to capture the extent of deprivation in terms of education, skills and training in a local area. 

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.","nn.nn = IMD Education, Skills and Training Domain value",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04EM,IMD Employment Deprivation Domain,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Employment Deprivation Domain. 
This domain measures employment deprivation conceptualised as involuntary exclusion of the working age population from the world of work.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",n.nn = IMD Employment Deprivation Domain value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04HD,IMD Health and Disability Domain ,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Health Deprivation and Disability Domain. The purpose of the Health Deprivation and Disability domain is to identify areas with relatively high rates of:
1. premature deaths
2. impaired quality of life, due to poor health
3. people with disabilities

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",n.nn = IMD Health and Disability Domain value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04HS,IMD Barriers to Housing and Services Domain ,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Barriers to Housing and Services Domain. The purpose of the Barriers to Housing and Services domain is to measure barriers to housing and key local services.   

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",nn.nn = IMD Barriers to Housing and Services Domain value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04I,IMD Income Domain ,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The purpose of this Domain is to capture the proportions of the population experiencing income deprivation in an area.

The current HES version of the Index is 2010, although the current IMD version of the index is 2015 which can be found on the IMD website:
https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015

IMD version 2019 is in use in HES from M11 2022-23.",n.nn = IMD Income Domain value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04IA,IMD Income Affecting Adults Domain ,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Older People Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's population aged 60 and over who are claiming Income Support or Job Seeker's Allowance.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",n.nn = IMD Income Affecting Adults Index value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04IC,IMD Income Affecting Children Domain ,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Children Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's children under 16 who were living in families receiving specific financial support, such as Income Support or Job Seeker's Allowance.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",n.nn = IMD Income Affecting Children Index value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04LE,IMD Living Environment Domain,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains, one of which is the Living Environment domain. The Living Environment domain focuses on deprivation with respect to the characteristics of the living environment.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",nn.nn = IMD Living Environment Domain value,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04RK,IMD Overall Rank ,Number,,1997-98 onwards,,"The IMD overall ranking is made by combining the seven IMD Domain scores using the following weights:
- Income (22.5%)
- Employment (22.5%)
- Health Deprivation and Disability (13.5%)
- Education, Skills and Training (13.5%)
- Barriers to Housing and Services (9.3%)
- Crime (9.3%)
- Living Environment (9.3%)

The LSOA (Lower Super Output Area) with a rank of 1 is the most deprived, and 32,884 the least deprived, on this overall measure.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",5n = IMD Overall Ranking,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
INTDAYS_n,Intensive Care Level Days,Number,Y,1997-98 to 2005-06,,"The number of days of intensive care in a period of augmented care.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","4n = Number of days in the range 0000 to 9998
Null = Not known: a validation error",,,AHAS_FLAT.dbo.HES_APC_ACP,,
INTMANIG,Intended Management ,String(1),,1997-98 onwards,,A code that defines what was planned to happen. The patient classification (CLASSPAT) defines what actually happened.,"1 = Patient to stay in hospital for at least one night
2 = Patient not to stay in hospital overnight
3 = Patient to have a planned series of admissions at least one overnight stay
4 = Patient to have a planned sequence of admissions no overnight stay
5 = Patient to be admitted regularly for a sequence of nights rest of the 24 hour period at home
8 = Not applicable
9 = Intendend Management not known",RULE_0120,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
LAD98,Local Authority District 1998,String(4),Y,1999-00 to 2000-01,,"The patient's county (first two characters) and local authority district (last two characters) of residence, derived in HES from the patient's postcode (HOMEADD). This field is used in conjunction with CURRWARD (current electoral ward) to produce a unique value indicating the ward within a given district where the patient resided (i.e. because identical Currward codes are allocated to many local authority districts, currward is meaningless in isolation). If the patient is resident within a Unitary Authority, the first two characters will be 00 (zero, zero) and the local authority component may not be useable.","nnaa = Local authority code  
S = Scotland  
U = England (NOS)  
W = Wales  
Y = Not known  
Z = Northern Ireland  
X = Foreign",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
LEGALGPA,Legal Group of Patient (on Admission),String(1),,2002-03 onwards,Yes,"A code that allocates the legal status of a patient to one of eight groups (an aggregation of legal status of a patient on admission, LEGLCAT).","0 = Not formally detained (LEGLCAT is 01 or spaces)  
1 = Formally detained under Part II, Sections 2 to 34 of the Mental Health Act 1983 (LEGLCAT is 02 to 06, or 2 to 6)  
2 = Formally detained under Part III, Sections 35 to 55 of the Mental Health Act 1983, or previous legislation (LEGLCAT is 07 to18, 30 to 32, 34 or 7 to 9)  
3 = Formally detained under Part X, Sections 131 to 149 of the Mental Health Act 1983 (LEGLCAT is 19 or 20)  
4 = Supervised discharge under the Mental Health Act 1995 (LEGLCAT is 33)  
5 = Guardianship (Sections 7 & 37) under the Mental Health Act 1983 (LEGLCAT is 35 or 36)  
Not applicable = i.e. home births/deliveries where EPITYPE is 5 or 6  
Not known = Any other value for leglcat",,RULE_1135,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
LEGALGPC,Legal Group of Patient (Psychiatric Census Date),String(1),Y,"2002-03 to 2016-17

",Yes,"Legal group of patient, an aggregation of the Legal Status Classification, LEGLSTAT. This field contains a code that allocates the legal status of a patient to one of eight groups.

","0 = Legal status on psychiatric census date is not formally detained, LEGLSTAT =01 or spaces  
1 = Legal status on psychiatric census date, LEGLSTAT = 02-06 or 2-6: Formally detained under Part II (Section 2-34) of the Mental Health Act 1983  
2 = Legal status on admission, LEGLSTAT = 07-18, 30-32, 34 or 7-9: Formally detained under Part III (Section 35-55) of the Mental Health Act 1983, or previous legislation  
3 = Legal status on admission, LEGLSTAT = 19-20: Formally detained under Part X (Sections 131-149) of the Mental Health Act 1983  
4 = Legal status on admission, LEGLSTAT = 33: Supervised discharge under the Mental Health Act 1995  
5 = Legal status on admission, LEGLSTAT = 35, 36: Guardianship (Sections 7 & 37) under the Mental Health Act 1983  
8 = Not applicable 
9 = Not known: any other value for LEGLSTAT.",,RULE_0895,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
LEGLCAT,Legal Category of Patient,String(2),,2000-01 onwards,Yes,"The legal category of all formally and informally detained patients on admission. An informally detained patient is one who is not formally detained, but has been in hospital for a year or more in the care of a consultant in the psychiatric specialties. This item is required for all admissions to psychiatric specialties. ","01 = Informal  
02 = Formally detained under the Mental Health Act, Section 2  
03 = Formally detained under the Mental Health Act, Section 3  
04 = Formally detained under the Mental Health Act, Section 4  
05 = Formally detained under the Mental Health Act, Section 5(2)  
06 = Formally detained under the Mental Health Act, Section 5(4)  
07 = Formally detained under the Mental Health Act, Section 35  
08 = Formally detained under the Mental Health Act, Section 36  
09 = Formally detained under the Mental Health Act, Section 37 with Section 41 restrictions  
10 = Formally detained under the Mental Health Act, Section 37 excluding Section 37(4)  
11 = Formally detained under the Mental Health Act, Section 37(4)  
12 = Formally detained under the Mental Health Act, Section 38  
13 = Formally detained under the Mental Health Act, Section 44  
14 = Formally detained under the Mental Health Act, Section 46  
15 = Formally detained under the Mental Health Act, Section 47 with Section 49 restrictions  
16 = Formally detained under the Mental Health Act, Section 47  
17 = Formally detained under the Mental Health Act, Section 48 with Section 49 restrictions  
18 = Formally detained under the Mental Health Act, Section 48  
19 = Formally detained under the Mental Health Act, Section 135  
20 = Formally detained under the Mental Health Act, Section 136  
21 = Formally detained under the previous legislation (fifth schedule)  
22 = Formally detained under Criminal Procedure (Insanity) Act 1964 as amended by the Criminal Procedures (Insanity and Unfitness to Plead) Act 1991  
23 = Formally detained under other Acts  
24 = Supervised discharge under the Mental Health (Patients in the Community) Act 1995  
25 = Formally detained under the Mental Health Act, Section 45A  
26 = Not applicable  
27 = Not known",,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
